Designator,Footprint,Quantity,Value,LCSC Part #
"LED1, LED2, LED3, LED4, LED5, LED7",LED_D5.0mm,6,LED-TH-5mm_G,
P1,BatteryHolder_Keystone_3034_1x20mm,1,CONN-TH_2P-P5.00,
"Q1, Q10, Q11, Q12, Q13, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-92L_Inline,13,2N3904(TO-92),
"R1, R2, R3, R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,270,
"R10, R12, R13, R15, R16, R18, R19, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,1k,
"R11, R14, R17, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,330,
"SW1, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_6mm,11,SW_Push,
